ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Rajesh Gowda,69,7,7,8,1
2,2,Nagesh Hegde,67,17,7,9,1
3,3,Sowmya Kulkarni,36,7,3,1,2
4,4,Rajesh Reddy,56,1,8,9,1
5,5,Pooja Achar,33,10,5,9,2
6,6,Nagesh Reddy,21,18,4,5,1
7,7,Basava Patil,75,9,3,5,1
8,8,Basava Reddy,71,7,2,1,1
9,9,Meena Kumar,24,18,5,3,2
10,10,Pooja Kumar,22,1,6,4,2
11,11,Shubha Rao,20,18,2,7,2
12,12,Yellamma Reddy,71,15,4,6,2
13,13,Geeta Kulkarni,59,13,3,8,2
14,14,Siddappa Nayak,46,12,3,8,1
15,15,Ramesh Patil,48,6,3,4,1
16,16,Shubha Desai,37,1,5,3,2
17,17,Naveen Desai,57,7,2,3,1
18,18,Kiran Reddy,48,13,2,9,1
19,19,Siddappa Poojary,70,1,2,7,1
20,20,Lakshmi Naik,71,1,1,3,2
21,21,Manjunath Rao,28,20,1,1,1
22,22,Dinesh Nayak,71,11,2,4,1
23,23,Ramesh Poojary,55,15,3,5,1
24,24,Gowramma Patil,34,2,5,9,2
25,25,Ravi Achar,21,4,5,2,1
26,26,Roopa Gowda,33,1,4,7,2
27,27,Roopa Kumar,60,10,4,7,2
28,28,Ramesh Patil,26,8,2,5,1
29,29,Kavya Kulkarni,40,4,6,2,2
30,30,Chandrashekar Patil,30,14,6,10,1
31,31,Yallappa Shetty,28,10,5,6,1
32,32,Anand Yadav,50,12,5,2,1
33,33,Prakash Poojary,60,5,6,3,1
34,34,Anita Nayak,69,16,2,2,2
35,35,Deepa Patil,24,11,3,3,2
36,36,Meena Kumar,50,14,8,7,2
37,37,Roopa Poojary,60,8,7,7,2
38,38,Yellamma Bhat,50,18,4,7,2
39,39,Rajesh Nayak,45,17,4,2,1
40,40,Santosh Gowda,32,1,6,9,1
41,41,Roopa Yadav,26,2,6,6,2
42,42,Vijay Hegde,28,18,7,4,1
43,43,Shivakumar Gowda,66,5,2,3,1
44,44,Lakshmi Nayak,46,12,1,2,2
45,45,Ramesh Achar,57,6,1,3,1
46,46,Roopa Naik,34,3,1,10,2
47,47,Roopa Poojary,30,16,3,9,2
48,48,Gowramma Shetty,65,11,8,1,2
49,49,Ashwini Patil,22,2,3,9,2
50,50,Ravi Shetty,72,14,8,9,1
51,51,Renukamma Rao,64,8,7,3,2
52,52,Kavya Bhat,43,5,4,7,2
53,53,Shivakumar Shetty,30,18,2,8,1
54,54,Priya Desai,60,13,7,3,2
55,55,Santosh Desai,46,7,5,2,1
56,56,Manjunath Kumar,57,11,1,4,1
57,57,Shubha Bhat,25,3,4,10,2
58,58,Vijay Reddy,54,7,1,4,1
59,59,Kavya Kulkarni,55,2,8,1,2
60,60,Praveen Naik,38,1,6,5,1
61,61,Renukamma Reddy,39,13,6,3,2
62,62,Praveen Shetty,66,17,2,9,1
63,63,Ravi Kulkarni,69,13,8,10,1
64,64,Vijay Patil,28,15,2,2,1
65,65,Girish Poojary,62,5,3,9,1
66,66,Anita Poojary,27,11,5,6,2
67,67,Sunita Yadav,64,13,4,4,2
68,68,Prakash Kulkarni,59,16,2,1,1
69,69,Vijay Bhat,74,3,8,2,1
70,70,Priya Patil,37,6,2,5,2
71,71,Meena Naik,23,6,8,5,2
72,72,Deepa Poojary,75,15,3,2,2
73,73,Sunita Kumar,73,10,7,7,2
74,74,Mahesh Kumar,51,20,6,6,1
75,75,Yallappa Shetty,51,15,5,1,1
76,76,Siddappa Poojary,34,18,1,3,1
77,77,Vijay Shetty,29,19,7,2,1
78,78,Naveen Achar,48,3,6,8,1
79,79,Yellamma Yadav,71,15,2,2,2
80,80,Siddappa Naik,44,14,4,7,1
81,81,Kavya Kumar,40,20,8,4,2
82,82,Ashwini Rao,48,2,3,8,2
83,83,Basava Reddy,39,19,1,10,1
84,84,Sunita Yadav,70,12,7,8,2
85,85,Suresh Reddy,74,1,7,5,1
86,86,Shubha Naik,28,3,5,7,2
87,87,Vijay Achar,64,15,7,9,1
88,88,Yallappa Yadav,35,6,1,2,1
89,89,Priya Poojary,38,6,4,6,2
90,90,Gowramma Hegde,53,6,7,6,2
91,91,Lakshmi Bhat,69,20,4,2,2
92,92,Praveen Desai,71,11,1,3,1
93,93,Roopa Hegde,74,11,2,7,2
94,94,Renukamma Nayak,19,15,3,8,2
95,95,Suresh Reddy,66,7,7,9,1
96,96,Chandrashekar Shetty,32,12,4,4,1
97,97,Santosh Achar,42,1,5,5,1
98,98,Hanumanth Hegde,60,15,7,7,1
99,99,Meena Achar,53,14,6,2,2
100,100,Mahesh Shetty,42,6,3,9,1
