VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Roopa Kulkarni,2,2,False
2,1,Renukamma Nayak,67,2,True
3,2,Santosh Desai,20,1,False
4,2,Sowmya Achar,63,2,False
5,3,Shubha Hegde,49,2,False
6,3,Praveen Reddy,40,1,False
7,4,Anand Kulkarni,16,1,False
8,5,Anita Kulkarni,2,2,False
9,6,Santosh Desai,5,1,True
10,6,Praveen Bhat,9,1,False
11,6,Suresh Hegde,73,1,False
12,7,Shubha Nayak,32,2,False
13,8,Shubha Gowda,78,2,False
14,8,Kavya Nayak,25,2,False
15,8,Umesh Rao,8,1,False
16,9,Rajesh Poojary,75,1,True
17,10,Dinesh Yadav,7,1,False
18,10,Girish Hegde,15,1,True
19,11,Geeta Naik,70,2,False
20,12,Pooja Kulkarni,2,2,True
21,12,Siddappa Yadav,57,1,False
22,13,Lakshmi Rao,53,2,False
23,13,Shubha Kumar,65,2,True
24,14,Pooja Rao,69,2,False
25,14,Deepa Desai,72,2,False
26,15,Ashwini Poojary,24,2,True
27,15,Praveen Yadav,66,1,True
28,15,Shubha Patil,9,2,True
29,16,Ashwini Yadav,57,2,False
30,16,Girish Poojary,14,1,False
31,16,Vijay Bhat,40,1,False
32,17,Ashwini Desai,39,2,False
33,17,Praveen Patil,25,1,True
34,18,Chandrashekar Desai,21,1,False
35,19,Rekha Poojary,35,2,False
36,19,Gowramma Yadav,39,2,False
37,20,Priya Nayak,46,2,False
38,21,Rekha Kulkarni,51,2,True
39,21,Naveen Gowda,53,1,False
40,22,Mahesh Poojary,36,1,False
41,22,Girish Desai,33,1,False
42,22,Lakshmi Kumar,55,2,True
43,23,Girish Kulkarni,65,1,True
44,24,Manjunath Reddy,21,1,False
45,25,Gowramma Gowda,50,2,True
46,25,Anand Kulkarni,76,1,True
47,25,Basavaraj Gowda,44,1,False
48,26,Anita Yadav,37,2,False
49,26,Roopa Yadav,10,2,False
50,27,Roopa Achar,20,2,False
51,27,Dinesh Naik,57,1,False
52,27,Yellamma Poojary,34,2,False
53,28,Prakash Poojary,9,1,False
54,28,Anita Nayak,28,2,False
55,28,Anita Reddy,59,2,False
56,29,Yallappa Nayak,34,1,False
57,30,Prakash Naik,53,1,True
58,30,Gowramma Poojary,7,2,False
59,31,Lakshmi Kulkarni,56,2,False
60,31,Yellamma Hegde,37,2,False
61,32,Siddappa Naik,73,1,False
62,32,Dinesh Patil,66,1,False
63,32,Geeta Poojary,10,2,True
64,33,Anita Yadav,20,2,False
65,34,Basava Kulkarni,44,1,True
66,35,Lakshmi Shetty,74,2,False
67,35,Chandrashekar Achar,50,1,False
68,36,Praveen Shetty,20,1,False
69,37,Yellamma Hegde,26,2,False
70,38,Girish Poojary,19,1,False
71,38,Shubha Naik,4,2,False
